,tfidf_lemmatized,tfidf_stemmed,word2vec_lemmatized_cbow_win2_dim100,word2vec_lemmatized_cbow_win5_dim100,word2vec_lemmatized_cbow_win2_dim200,word2vec_lemmatized_skipgram_win2_dim100,word2vec_lemmatized_skipgram_win5_dim100,word2vec_lemmatized_cbow_win10_dim100,word2vec_lemmatized_skipgram_win10_dim100,word2vec_lemmatized_cbow_win2_dim300,word2vec_lemmatized_skipgram_win2_dim300,word2vec_stemmed_cbow_win2_dim100,word2vec_stemmed_cbow_win5_dim100,word2vec_stemmed_cbow_win2_dim200,word2vec_stemmed_skipgram_win2_dim100,word2vec_stemmed_skipgram_win5_dim100,word2vec_stemmed_cbow_win10_dim100,word2vec_stemmed_skipgram_win10_dim100
tfidf_lemmatized,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tfidf_stemmed,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_lemmatized_cbow_win2_dim100,0.0,0.2,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
word2vec_lemmatized_cbow_win5_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_lemmatized_cbow_win2_dim200,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_lemmatized_skipgram_win2_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_lemmatized_skipgram_win5_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_lemmatized_cbow_win10_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_lemmatized_skipgram_win10_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_lemmatized_cbow_win2_dim300,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_lemmatized_skipgram_win2_dim300,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_stemmed_cbow_win2_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_stemmed_cbow_win5_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_stemmed_cbow_win2_dim200,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_stemmed_skipgram_win2_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_stemmed_skipgram_win5_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_stemmed_cbow_win10_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
word2vec_stemmed_skipgram_win10_dim100,0.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
